iso_code,vaccine
AFG,Oxford/AstraZeneca
ALB,Pfizer/BioNTech
DZA,Sputnik V
AND,Pfizer/BioNTech
AGO,Oxford/AstraZeneca
AIA,Oxford/AstraZeneca
ATG,Oxford/AstraZeneca
ARG,Oxford/AstraZeneca
ARG,Sinopharm/Beijing
ARG,Sputnik V
AUS,Oxford/AstraZeneca
AUS,Pfizer/BioNTech
AUT,Moderna
AUT,Oxford/AstraZeneca
AUT,Pfizer/BioNTech
AZE,Sinovac
BHS,Oxford/AstraZeneca
BHR,Oxford/AstraZeneca
BHR,Pfizer/BioNTech
BHR,Sinopharm/Beijing
BHR,Sputnik V
BGD,Oxford/AstraZeneca
BRB,Oxford/AstraZeneca
BLR,Sputnik V
BEL,Moderna
BEL,Oxford/AstraZeneca
BEL,Pfizer/BioNTech
BLZ,Oxford/AstraZeneca
BMU,Pfizer/BioNTech
BOL,Sputnik V
BRA,Oxford/AstraZeneca
BRA,Sinovac
BGR,Moderna
BGR,Oxford/AstraZeneca
BGR,Pfizer/BioNTech
KHM,Sinopharm/Beijing
CAN,Moderna
CAN,Oxford/AstraZeneca
CAN,Pfizer/BioNTech
CYM,Pfizer/BioNTech
CHL,Pfizer/BioNTech
CHL,Sinovac
CHN,Sinopharm/Beijing
CHN,Sinopharm/Wuhan
CHN,Sinovac
COL,Pfizer/BioNTech
COL,Sinovac
CRI,Pfizer/BioNTech
CIV,Oxford/AstraZeneca
HRV,Pfizer/BioNTech
CYP,Pfizer/BioNTech
CZE,Moderna
CZE,Oxford/AstraZeneca
CZE,Pfizer/BioNTech
DNK,Moderna
DNK,Oxford/AstraZeneca
DNK,Pfizer/BioNTech
DMA,Oxford/AstraZeneca
DOM,Oxford/AstraZeneca
DOM,Sinovac
ECU,Pfizer/BioNTech
EGY,Sinopharm/Beijing
SLV,Oxford/AstraZeneca
OWID_ENG,Oxford/AstraZeneca
OWID_ENG,Pfizer/BioNTech
GNQ,Sinopharm/Beijing
EST,Moderna
EST,Oxford/AstraZeneca
EST,Pfizer/BioNTech
FRO,Moderna
FRO,Pfizer/BioNTech
FLK,Oxford/AstraZeneca
FIN,Moderna
FIN,Oxford/AstraZeneca
FIN,Pfizer/BioNTech
FRA,Moderna
FRA,Oxford/AstraZeneca
FRA,Pfizer/BioNTech
DEU,Moderna
DEU,Oxford/AstraZeneca
DEU,Pfizer/BioNTech
GHA,Oxford/AstraZeneca
GIB,Pfizer/BioNTech
GRC,Moderna
GRC,Oxford/AstraZeneca
GRC,Pfizer/BioNTech
GRL,Pfizer/BioNTech
GRD,Oxford/AstraZeneca
GTM,Moderna
GGY,Pfizer/BioNTech
GIN,Sputnik V
GUY,Oxford/AstraZeneca
HND,Moderna
HND,Oxford/AstraZeneca
HKG,Pfizer/BioNTech
HKG,Sinovac
HUN,Moderna
HUN,Oxford/AstraZeneca
HUN,Pfizer/BioNTech
HUN,Sinopharm/Beijing
HUN,Sputnik V
ISL,Moderna
ISL,Oxford/AstraZeneca
ISL,Pfizer/BioNTech
IND,Covaxin
IND,Oxford/AstraZeneca
IDN,Sinovac
IRN,Sputnik V
IRL,Moderna
IRL,Oxford/AstraZeneca
IRL,Pfizer/BioNTech
IMN,Oxford/AstraZeneca
IMN,Pfizer/BioNTech
ISR,Moderna
ISR,Pfizer/BioNTech
ITA,Moderna
ITA,Oxford/AstraZeneca
ITA,Pfizer/BioNTech
JAM,Oxford/AstraZeneca
JPN,Pfizer/BioNTech
JEY,Oxford/AstraZeneca
JEY,Pfizer/BioNTech
JOR,Pfizer/BioNTech
JOR,Sinopharm/Beijing
KAZ,Sputnik V
KEN,Oxford/AstraZeneca
KWT,Pfizer/BioNTech
LAO,Sinopharm/Beijing
LAO,Sputnik V
LVA,Moderna
LVA,Oxford/AstraZeneca
LVA,Pfizer/BioNTech
LBN,Pfizer/BioNTech
LIE,Moderna
LIE,Pfizer/BioNTech
LTU,Moderna
LTU,Oxford/AstraZeneca
LTU,Pfizer/BioNTech
LUX,Moderna
LUX,Oxford/AstraZeneca
LUX,Pfizer/BioNTech
MAC,Pfizer/BioNTech
MAC,Sinopharm/Beijing
MWI,Oxford/AstraZeneca
MYS,Pfizer/BioNTech
MYS,Sinovac
MDV,Oxford/AstraZeneca
MLT,Pfizer/BioNTech
MUS,Oxford/AstraZeneca
MEX,Oxford/AstraZeneca
MEX,Pfizer/BioNTech
MEX,Sputnik V
MDA,Oxford/AstraZeneca
MCO,Pfizer/BioNTech
MNG,Oxford/AstraZeneca
MNE,Sinopharm/Beijing
MNE,Sputnik V
MSR,Oxford/AstraZeneca
MAR,Oxford/AstraZeneca
MAR,Sinopharm/Beijing
MOZ,Sinopharm/Beijing
MMR,Oxford/AstraZeneca
NPL,Oxford/AstraZeneca
NLD,Moderna
NLD,Oxford/AstraZeneca
NLD,Pfizer/BioNTech
NZL,Pfizer/BioNTech
NGA,Oxford/AstraZeneca
MKD,Pfizer/BioNTech
OWID_CYN,Pfizer/BioNTech
OWID_CYN,Sinovac
OWID_NIR,Oxford/AstraZeneca
OWID_NIR,Pfizer/BioNTech
NOR,Moderna
NOR,Oxford/AstraZeneca
NOR,Pfizer/BioNTech
OMN,Oxford/AstraZeneca
OMN,Pfizer/BioNTech
PAK,Oxford/AstraZeneca
PAK,Sinopharm/Beijing
PAK,Sputnik V
PAN,Pfizer/BioNTech
PRY,Sputnik V
PER,Sinopharm/Beijing
PHL,Sinovac
POL,Moderna
POL,Oxford/AstraZeneca
POL,Pfizer/BioNTech
PRT,Moderna
PRT,Pfizer/BioNTech
QAT,Pfizer/BioNTech
ROU,Moderna
ROU,Oxford/AstraZeneca
ROU,Pfizer/BioNTech
RUS,EpiVacCorona
RUS,Sputnik V
RWA,Moderna
RWA,Oxford/AstraZeneca
RWA,Pfizer/BioNTech
SHN,Oxford/AstraZeneca
KNA,Oxford/AstraZeneca
LCA,Oxford/AstraZeneca
VCT,Oxford/AstraZeneca
SMR,Sputnik V
SAU,Oxford/AstraZeneca
SAU,Pfizer/BioNTech
OWID_SCT,Oxford/AstraZeneca
OWID_SCT,Pfizer/BioNTech
SEN,Sinopharm/Beijing
SRB,Oxford/AstraZeneca
SRB,Pfizer/BioNTech
SRB,Sinopharm/Beijing
SRB,Sputnik V
SYC,Oxford/AstraZeneca
SYC,Sinopharm/Beijing
SGP,Moderna
SGP,Pfizer/BioNTech
SVK,Pfizer/BioNTech
SVN,Oxford/AstraZeneca
SVN,Pfizer/BioNTech
ZAF,Johnson&Johnson
KOR,Oxford/AstraZeneca
KOR,Pfizer/BioNTech
ESP,Moderna
ESP,Oxford/AstraZeneca
ESP,Pfizer/BioNTech
LKA,Oxford/AstraZeneca
SUR,Oxford/AstraZeneca
SWE,Oxford/AstraZeneca
SWE,Pfizer/BioNTech
CHE,Moderna
CHE,Pfizer/BioNTech
THA,Oxford/AstraZeneca
THA,Sinovac
TTO,Oxford/AstraZeneca
TUN,Pfizer/BioNTech
TUN,Sputnik V
TUR,Sinovac
TCA,Pfizer/BioNTech
UGA,Oxford/AstraZeneca
UKR,Oxford/AstraZeneca
ARE,Oxford/AstraZeneca
ARE,Pfizer/BioNTech
ARE,Sinopharm/Beijing
ARE,Sinopharm/Wuhan
ARE,Sputnik V
GBR,Oxford/AstraZeneca
GBR,Pfizer/BioNTech
USA,Johnson&Johnson
USA,Moderna
USA,Pfizer/BioNTech
URY,Pfizer/BioNTech
URY,Sinovac
VEN,Sputnik V
VNM,Oxford/AstraZeneca
OWID_WLS,Oxford/AstraZeneca
OWID_WLS,Pfizer/BioNTech
ZWE,Sinopharm/Beijing
